Features,Importance
lbpm_sc7_kurtosis,0.07991360693079833
gabor_sc7_filter_8,0.06094427970540178
lsr_sc31_line_length,0.041644236466143875
hog_sc5_max,0.04084151230787157
hog_sc5_skew,0.04083462059326155
gabor_sc7_filter_6,0.03961196932860086
lbpm_sc7_max,0.039349867360173485
lac_sc7_lac,0.03775729445659585
hog_sc7_max,0.03773294877578364
hog_sc3_skew,0.03179052295433318
gabor_sc7_filter_4,0.02956772122948579
lbpm_sc3_max,0.024827030392377245
gabor_sc5_filter_10,0.023089796038362805
gabor_sc5_filter_3,0.020762193686011055
gabor_sc5_filter_14,0.019113472570732197
hog_sc3_max,0.01692548994868087
gabor_sc5_filter_2,0.014309529540393927
lsr_sc51_line_mean,0.014120257180652187
sfs_sc31_mean,0.014034302725715595
lac_sc5_lac,0.013726865519464093
gabor_sc7_mean,0.013340717104562723
lbpm_sc5_skew,0.012201195739150544
orb_sc51_max,0.011745906154099
lsr_sc31_line_mean,0.011668333461985241
gabor_sc5_filter_11,0.011542503803795618
hog_sc7_kurtosis,0.011351948729294327
gabor_sc5_filter_13,0.011105488390341514
hog_sc3_mean,0.009740135023991235
gabor_sc3_variance,0.009669677488072598
pantex_sc3_min,0.009176238368575009
gabor_sc5_filter_12,0.009023091741418628
lsr_sc31_line_contrast,0.008848775174758189
orb_sc51_skew,0.008632709695264846
gabor_sc3_filter_1,0.008609500973889343
sfs_sc71_mean,0.007942857645492431
sfs_sc51_mean,0.007844899299155661
gabor_sc5_filter_1,0.007642975292345026
pantex_sc7_min,0.007586466645292497
gabor_sc3_filter_14,0.007326522548545158
sfs_sc31_min_line_length,0.006930659424050681
ndvi_sc7_mean,0.006159873960777105
sfs_sc51_w_mean,0.0061049193609493445
orb_sc51_variance,0.0058520528530197095
mean_sc3_mean,0.0056327128558458
hog_sc5_mean,0.005145925903614566
hog_sc7_variance,0.005020457149707856
gabor_sc3_filter_9,0.0049180066943364945
orb_sc51_kurtosis,0.004727960922347762
sfs_sc51_min_line_length,0.004560348885570158
lbpm_sc5_mean,0.0045154962951853145
sfs_sc51_max_ratio_of_orthogonal_angles,0.004479449862456231
