Features,Importance
gabor_sc5_filter_12,0.02105974513321253
gabor_sc5_filter_13,0.016681098556975114
gabor_sc5_filter_1,0.016501582947120227
gabor_sc3_variance,0.016486131624747036
lbpm_sc3_max,0.016039819049126804
gabor_sc3_filter_9,0.015902939769869732
lsr_sc31_line_length,0.015543477779229114
gabor_sc5_filter_2,0.015355948720677796
gabor_sc5_filter_11,0.014819456216491477
lsr_sc31_line_mean,0.01381749717899165
gabor_sc5_filter_10,0.01366617715692522
hog_sc5_skew,0.0134384010812845
gabor_sc3_filter_8,0.01320711307972495
gabor_sc5_filter_14,0.012991835675574008
hog_sc7_max,0.01281930321048506
lbpm_sc7_kurtosis,0.01247629002582368
gabor_sc3_filter_5,0.012349617188320904
gabor_sc3_mean,0.01211596568973391
lac_sc7_lac,0.011971886707342118
hog_sc7_kurtosis,0.0113361827111342
gabor_sc7_filter_3,0.011298211281511952
lbpm_sc7_max,0.011126569548624142
lac_sc5_lac,0.010994844025207097
gabor_sc7_filter_7,0.010618488725187605
hog_sc5_max,0.0105790677161055
hog_sc3_skew,0.010383239715758146
gabor_sc7_filter_9,0.01025239956770908
gabor_sc3_filter_6,0.010137677900505142
hog_sc7_mean,0.010078881731924963
lbpm_sc5_skew,0.010071610124605302
lsr_sc31_line_contrast,0.009575656318711285
gabor_sc7_filter_6,0.009364814199276318
hog_sc5_mean,0.00928840132185254
lbpm_sc7_variance,0.009243765560357744
gabor_sc5_filter_3,0.009100303656755081
hog_sc3_kurtosis,0.009060117473017054
lsr_sc71_line_mean,0.008966495376445281
gabor_sc7_filter_8,0.008832895259162065
gabor_sc3_filter_7,0.008456780598148375
lbpm_sc3_variance,0.008435417607178464
lsr_sc51_line_length,0.008357959371055266
gabor_sc7_filter_4,0.008261189109136029
hog_sc5_kurtosis,0.008160383501869685
lsr_sc71_line_length,0.008066641960898027
lbpm_sc5_variance,0.008053586086426088
lsr_sc51_line_contrast,0.007970087767531773
lbpm_sc3_mean,0.00773467348381777
fourier_sc51_mean,0.007613572664419437
hog_sc5_variance,0.007569887011189738
gabor_sc7_variance,0.007506854636005906
gabor_sc3_filter_13,0.007496340270016655
orb_sc31_kurtosis,0.0074875333626709525
gabor_sc7_filter_5,0.0074727291894372706
ndvi_sc3_mean,0.00747047323560143
sfs_sc51_max_ratio_of_orthogonal_angles,0.007420489219919437
lbpm_sc5_mean,0.007351769686534591
gabor_sc3_filter_14,0.0072975389802979185
ndvi_sc7_mean,0.007231532405636921
gabor_sc7_mean,0.007213611125045059
lsr_sc51_line_mean,0.0071447819725672535
gabor_sc3_filter_10,0.007134162247977558
sfs_sc71_min_line_length,0.006838873842868563
gabor_sc3_filter_4,0.006829369799283628
orb_sc51_kurtosis,0.006738887283689836
sfs_sc51_min_line_length,0.006723689968165533
lbpm_sc5_kurtosis,0.006679230235169016
hog_sc3_variance,0.006642841122731926
hog_sc7_skew,0.00662903470728293
sfs_sc51_w_mean,0.006543364192811421
hog_sc3_mean,0.006497728639015336
fourier_sc71_variance,0.006454467023438453
fourier_sc31_variance,0.0063987167700553715
sfs_sc31_max_ratio_of_orthogonal_angles,0.006363890279549466
mean_sc3_variance,0.006340390998699041
sfs_sc71_w_mean,0.006275602526266934
fourier_sc51_variance,0.006239456565689312
sfs_sc51_max_line_length,0.006217833905591938
hog_sc3_max,0.00614464390121813
lsr_sc71_line_contrast,0.005986021572715019
orb_sc31_mean,0.005957018113014887
sfs_sc31_mean,0.005955396610265149
mean_sc5_variance,0.005876655932973345
orb_sc51_skew,0.005864814077545339
gabor_sc3_filter_3,0.0058607978698504235
gabor_sc3_filter_1,0.005860480775968466
ndvi_sc5_mean,0.005684864134274503
orb_sc71_max,0.005649949535570115
mean_sc3_mean,0.005528267919623282
gabor_sc3_filter_11,0.0055167378443419166
mean_sc7_variance,0.00551164724838098
orb_sc51_variance,0.005464338761282022
sfs_sc31_std,0.0053555215776661695
sfs_sc71_max_ratio_of_orthogonal_angles,0.005353022283181617
gabor_sc3_filter_2,0.00533251272529641
orb_sc31_variance,0.005318255156570795
sfs_sc71_mean,0.005283906878496722
lbpm_sc3_kurtosis,0.005251578661514395
ndvi_sc7_variance,0.005222955601299996
lbpm_sc5_max,0.005219706512675683
