Contextual_features,values
fourier_sc51_variance,0.007246614412270258
fourier_sc31_variance,0.007190834526876078
gabor_sc5_filter_12,0.005700643916971115
gabor_sc3_filter_1,0.005455794331185704
gabor_sc5_filter_7,0.0054085770691028046
sfs_sc31_max_ratio_of_orthogonal_angles,0.005394654245506558
gabor_sc5_filter_4,0.005372740658275532
ndvi_sc3_mean,0.005238742778295169
gabor_sc5_filter_5,0.005076724999734106
fourier_sc71_variance,0.005052846759072693
gabor_sc7_variance,0.005005327882476651
mean_sc3_mean,0.004955201916784002
mean_sc5_variance,0.004792678224494695
sfs_sc71_min_line_length,0.004730489721654241
gabor_sc3_mean,0.004720226113188675
gabor_sc3_filter_14,0.004717257432560906
gabor_sc5_filter_9,0.0046928064993891905
gabor_sc3_filter_3,0.0046648970632103826
sfs_sc51_max_line_length,0.004447204407593164
gabor_sc3_filter_11,0.00433362877018495
lbpm_sc7_skew,0.004262835808446885
sfs_sc71_std,0.004241193791637121
gabor_sc3_filter_5,0.004241029136834662
sfs_sc71_mean,0.0042210817703780545
gabor_sc5_filter_3,0.0041586802838091685
hog_sc7_max,0.004140894932689099
gabor_sc3_filter_13,0.004113293404747198
gabor_sc5_filter_8,0.004090950509017199
fourier_sc51_mean,0.004089287921753115
gabor_sc5_filter_2,0.004085939562319396
ndvi_sc5_mean,0.004061741566188548
gabor_sc3_filter_6,0.003909834370293908
fourier_sc71_mean,0.0038080611683863896
gabor_sc5_filter_10,0.003797236879756527
hog_sc7_variance,0.003762885285809814
gabor_sc7_filter_9,0.003713006737889879
sfs_sc71_max_line_length,0.003664575373553358
gabor_sc7_filter_2,0.0036371379545216964
gabor_sc7_filter_7,0.0036101193762068107
gabor_sc5_mean,0.003585062014973106
lbpm_sc5_variance,0.0035165510470633876
lac_sc3_lac,0.003514201095939029
mean_sc5_mean,0.0035030531929745035
gabor_sc5_variance,0.003455857489196301
gabor_sc7_filter_11,0.0034442272718822053
gabor_sc7_filter_3,0.0034246865369058632
gabor_sc7_filter_6,0.003394409119671593
gabor_sc5_filter_1,0.0033833812165093846
gabor_sc7_filter_13,0.0033438418315390184
gabor_sc7_filter_4,0.0033328787957838113
gabor_sc7_filter_1,0.0033035080852032994
gabor_sc7_filter_8,0.0033005255486915352
lsr_sc71_line_mean,0.003285412436476509
gabor_sc3_filter_4,0.0032706715446042534
hog_sc5_variance,0.0032476454870697946
gabor_sc3_filter_12,0.0032021768591723454
lbpm_sc3_max,0.0031772849812479187
lbpm_sc3_mean,0.0031688882983096356
gabor_sc7_mean,0.0031014460516025633
gabor_sc3_filter_9,0.003078012083781001
gabor_sc7_filter_14,0.003077373370384162
lbpm_sc5_max,0.0030604296374334705
