Contextual_features,top_logistic_0_1,top_Random_Forest_0_1,top_Gradient_Boosting_0_1,top_Ada_Boosting_0_1,minfo_0_1,combined_rank,rank
lbpm_sc7_max,7,22,7,4,77,117,1
hog_sc3_skew,10,26,10,5,69,120,2
gabor_sc7_filter_8,91,38,2,1,52,184,3
gabor_sc5_filter_12,69,1,31,82,3,186,4
gabor_sc5_filter_2,52,8,17,85,30,192,5
lac_sc7_lac,26,19,8,2,137,192,6
lbpm_sc7_kurtosis,31,16,1,29,120,197,7
gabor_sc3_variance,23,4,29,78,71,205,8
gabor_sc5_filter_11,28,9,25,81,72,215,9
gabor_sc5_filter_3,56,35,14,86,25,216,10
gabor_sc5_filter_10,80,11,13,80,34,218,11
mean_sc5_variance,53,82,57,13,13,218,12
gabor_sc5_filter_13,48,2,27,76,68,221,13
sfs_sc51_max_line_length,2,77,83,44,19,225,14
lsr_sc51_line_mean,8,60,18,12,133,231,15
lsr_sc31_line_length,88,7,3,3,130,231,16
sfs_sc71_std,3,104,55,54,22,238,17
mean_sc3_mean,93,88,44,9,12,246,18
gabor_sc3_filter_9,44,6,47,91,60,248,19
lsr_sc31_line_contrast,35,31,32,25,126,249,20
gabor_sc3_mean,86,18,56,77,15,252,21
mean_sc3_variance,4,74,87,10,78,253,22
gabor_sc5_filter_1,87,3,37,79,48,254,23
lsr_sc71_line_contrast,5,79,64,20,97,265,24
sfs_sc31_max_ratio_of_orthogonal_angles,24,73,108,55,6,266,25
lbpm_sc3_max,128,5,12,75,57,277,26
ndvi_sc3_mean,127,54,74,16,8,279,27
sfs_sc51_max_ratio_of_orthogonal_angles,55,55,51,45,74,280,28
lbpm_sc3_mean,43,47,96,38,58,282,29
gabor_sc7_filter_6,67,32,6,133,47,285,30
gabor_sc3_filter_1,65,85,34,99,4,287,31
lsr_sc31_line_mean,124,10,24,24,110,292,32
fourier_sc51_mean,21,48,102,95,29,295,33
sfs_sc51_w_mean,33,69,42,49,102,295,34
lbpm_sc5_kurtosis,13,66,68,34,115,296,35
gabor_sc3_filter_7,40,39,53,92,73,297,36
gabor_sc5_filter_14,98,14,15,83,89,299,37
hog_sc7_kurtosis,47,20,26,119,88,300,38
hog_sc7_max,130,15,9,121,26,301,39
gabor_sc3_filter_6,76,28,63,102,32,301,40
hog_sc5_max,73,25,4,116,86,304,41
gabor_sc3_filter_5,85,17,71,108,23,304,42
gabor_sc3_filter_8,51,13,78,84,79,305,43
fourier_sc31_variance,42,72,97,93,2,306,44
sfs_sc71_mean,104,96,35,52,24,311,45
lbpm_sc3_variance,29,40,92,35,117,313,46
mean_sc7_variance,92,90,54,15,64,315,47
gabor_sc7_filter_9,17,27,107,131,36,318,48
lsr_sc71_line_mean,141,37,79,8,53,318,49
gabor_sc7_filter_7,18,24,106,132,39,319,50
lbpm_sc5_variance,83,45,123,30,41,322,51
gabor_sc3_filter_11,46,89,77,94,20,326,52
sfs_sc71_min_line_length,114,62,84,53,14,327,53
ndvi_sc7_mean,107,58,41,36,87,329,54
lbpm_sc5_skew,122,30,22,31,125,330,55
lbpm_sc7_skew,101,120,61,27,21,330,56
fourier_sc71_variance,32,71,120,98,10,331,57
gabor_sc7_filter_4,95,42,11,135,50,333,58
ndvi_sc5_mean,121,86,80,18,31,336,59
ndvi_sc7_variance,12,98,90,23,113,336,60
fourier_sc31_mean,1,100,144,11,83,339,61
sfs_sc51_min_line_length,39,65,49,47,139,339,62
orb_sc31_kurtosis,77,52,73,37,101,340,63
hog_sc5_skew,68,12,5,118,141,344,64
ndvi_sc3_variance,9,109,105,17,106,346,65
hog_sc5_mean,15,33,45,117,140,350,66
lbpm_sc5_mean,108,56,50,32,105,351,67
lbpm_sc5_max,37,99,121,33,62,352,68
sfs_sc31_mean,142,81,19,40,70,352,69
sfs_sc31_std,36,92,66,42,118,354,70
gabor_sc3_filter_14,139,57,39,104,16,355,71
orb_sc31_max,84,103,60,39,75,361,72
orb_sc51_kurtosis,100,64,48,62,92,366,73
gabor_sc3_filter_3,64,84,94,106,18,366,74
lsr_sc51_line_contrast,38,46,131,21,131,367,75
mean_sc5_mean,63,124,136,6,43,372,76
gabor_sc3_filter_13,70,51,126,103,27,377,77
hog_sc3_max,81,78,16,127,76,378,78
gabor_sc7_variance,115,50,75,129,11,380,79
sfs_sc71_max_line_length,123,106,65,50,37,381,80
lbpm_sc7_variance,111,34,93,26,119,383,81
ndvi_sc5_variance,19,117,99,19,134,388,82
hog_sc5_variance,60,49,115,112,55,391,83
hog_sc3_kurtosis,50,36,69,128,109,392,84
gabor_sc7_filter_5,30,53,85,134,91,393,85
gabor_sc5_filter_7,22,135,142,90,5,394,86
lsr_sc51_line_length,96,41,104,22,132,395,87
gabor_sc3_filter_4,62,63,110,107,54,396,88
lsr_sc71_line_length,144,44,103,7,99,397,89
gabor_sc5_filter_9,27,130,113,110,17,397,90
mean_sc7_mean,94,122,89,14,81,400,91
