Features,Importance
gabor_sc7_filter_8,0.36
lac_sc7_lac,0.32
lsr_sc31_line_length,0.12
lbpm_sc7_max,0.1
hog_sc3_skew,0.1
mean_sc5_mean,0.0
lsr_sc71_line_length,0.0
lsr_sc71_line_mean,0.0
mean_sc3_mean,0.0
mean_sc3_variance,0.0
fourier_sc31_mean,0.0
lsr_sc51_line_mean,0.0
mean_sc5_variance,0.0
mean_sc7_mean,0.0
mean_sc7_variance,0.0
ndvi_sc3_mean,0.0
ndvi_sc3_variance,0.0
ndvi_sc5_mean,0.0
ndvi_sc5_variance,0.0
lsr_sc71_line_contrast,0.0
lsr_sc51_line_contrast,0.0
lsr_sc51_line_length,0.0
ndvi_sc7_variance,0.0
lsr_sc31_line_mean,0.0
lsr_sc31_line_contrast,0.0
lbpm_sc7_variance,0.0
lbpm_sc7_skew,0.0
lbpm_sc7_mean,0.0
lbpm_sc7_kurtosis,0.0
lbpm_sc5_variance,0.0
lbpm_sc5_skew,0.0
lbpm_sc5_mean,0.0
lbpm_sc5_max,0.0
lbpm_sc5_kurtosis,0.0
lbpm_sc3_variance,0.0
ndvi_sc7_mean,0.0
orb_sc31_kurtosis,0.0
lbpm_sc3_mean,0.0
orb_sc31_max,0.0
sfs_sc31_mean,0.0
sfs_sc31_min_line_length,0.0
sfs_sc31_std,0.0
sfs_sc31_w_mean,0.0
sfs_sc51_max_line_length,0.0
sfs_sc51_max_ratio_of_orthogonal_angles,0.0
sfs_sc51_mean,0.0
sfs_sc51_min_line_length,0.0
sfs_sc51_std,0.0
sfs_sc51_w_mean,0.0
sfs_sc71_max_line_length,0.0
sfs_sc71_max_ratio_of_orthogonal_angles,0.0
sfs_sc71_mean,0.0
sfs_sc71_min_line_length,0.0
sfs_sc71_std,0.0
sfs_sc31_max_ratio_of_orthogonal_angles,0.0
sfs_sc31_max_line_length,0.0
pantex_sc7_min,0.0
orb_sc51_skew,0.0
orb_sc31_mean,0.0
orb_sc31_skew,0.0
orb_sc31_variance,0.0
orb_sc51_kurtosis,0.0
orb_sc51_max,0.0
orb_sc51_mean,0.0
orb_sc51_variance,0.0
pantex_sc5_min,0.0
orb_sc71_kurtosis,0.0
orb_sc71_max,0.0
orb_sc71_mean,0.0
orb_sc71_skew,0.0
orb_sc71_variance,0.0
pantex_sc3_min,0.0
lbpm_sc3_skew,0.0
lbpm_sc3_kurtosis,0.0
lbpm_sc3_max,0.0
gabor_sc5_filter_13,0.0
gabor_sc3_mean,0.0
gabor_sc3_variance,0.0
gabor_sc5_filter_1,0.0
gabor_sc5_filter_10,0.0
gabor_sc5_filter_11,0.0
gabor_sc5_filter_12,0.0
gabor_sc5_filter_14,0.0
gabor_sc3_filter_8,0.0
gabor_sc5_filter_2,0.0
gabor_sc5_filter_3,0.0
gabor_sc5_filter_4,0.0
gabor_sc5_filter_5,0.0
gabor_sc5_filter_6,0.0
gabor_sc5_filter_7,0.0
gabor_sc3_filter_9,0.0
gabor_sc3_filter_7,0.0
fourier_sc31_variance,0.0
gabor_sc3_filter_11,0.0
fourier_sc51_mean,0.0
fourier_sc51_variance,0.0
fourier_sc71_mean,0.0
fourier_sc71_variance,0.0
gabor_sc3_filter_1,0.0
gabor_sc3_filter_10,0.0
gabor_sc3_filter_12,0.0
gabor_sc3_filter_6,0.0
gabor_sc3_filter_13,0.0
gabor_sc3_filter_14,0.0
gabor_sc3_filter_2,0.0
gabor_sc3_filter_3,0.0
gabor_sc3_filter_4,0.0
gabor_sc3_filter_5,0.0
gabor_sc5_filter_8,0.0
gabor_sc5_filter_9,0.0
gabor_sc5_mean,0.0
hog_sc5_variance,0.0
hog_sc3_mean,0.0
hog_sc3_variance,0.0
hog_sc5_kurtosis,0.0
hog_sc5_max,0.0
hog_sc5_mean,0.0
hog_sc5_skew,0.0
hog_sc7_kurtosis,0.0
gabor_sc5_variance,0.0
hog_sc7_max,0.0
hog_sc7_mean,0.0
hog_sc7_skew,0.0
hog_sc7_variance,0.0
lac_sc3_lac,0.0
lac_sc5_lac,0.0
hog_sc3_max,0.0
hog_sc3_kurtosis,0.0
gabor_sc7_variance,0.0
gabor_sc7_mean,0.0
gabor_sc7_filter_9,0.0
gabor_sc7_filter_7,0.0
gabor_sc7_filter_6,0.0
gabor_sc7_filter_5,0.0
gabor_sc7_filter_4,0.0
gabor_sc7_filter_3,0.0
gabor_sc7_filter_2,0.0
gabor_sc7_filter_14,0.0
gabor_sc7_filter_13,0.0
gabor_sc7_filter_12,0.0
gabor_sc7_filter_11,0.0
gabor_sc7_filter_10,0.0
gabor_sc7_filter_1,0.0
sfs_sc71_w_mean,0.0
