Contextual_features,values
fourier_sc31_mean,2.582292414635418
sfs_sc51_max_line_length,2.16607156897203
sfs_sc71_std,2.0569006895308997
mean_sc3_variance,1.9089984947221155
lsr_sc71_line_contrast,1.8262345091097565
sfs_sc31_w_mean,1.6569017140048126
lbpm_sc7_max,1.6023800637176224
lsr_sc51_line_mean,1.598441114389006
ndvi_sc3_variance,1.5577130214380752
hog_sc3_skew,1.4866722188738761
pantex_sc5_min,1.463429180059617
ndvi_sc7_variance,1.4567221872965355
lbpm_sc5_kurtosis,1.391216343969921
sfs_sc31_max_line_length,1.386117133368974
hog_sc5_mean,1.366903724820562
lbpm_sc7_mean,1.3544683168554625
gabor_sc7_filter_9,1.3528391359123886
gabor_sc7_filter_7,1.3311904867105715
ndvi_sc5_variance,1.3254805189785765
gabor_sc3_filter_2,1.3129792467277897
fourier_sc51_mean,1.306766596650038
gabor_sc5_filter_7,1.3062148063997345
gabor_sc3_variance,1.3042904852644033
sfs_sc31_max_ratio_of_orthogonal_angles,1.251711398098652
gabor_sc7_filter_11,1.239565166226833
lac_sc7_lac,1.2312804392772536
gabor_sc5_filter_9,1.2206338948863582
gabor_sc5_filter_11,1.2034790405470115
lbpm_sc3_variance,1.1935625746355099
gabor_sc7_filter_5,1.1879636883147695
lbpm_sc7_kurtosis,1.1828820267180387
fourier_sc71_variance,1.1576599341471956
sfs_sc51_w_mean,1.1542442099180639
gabor_sc5_filter_5,1.1423757781581751
lsr_sc31_line_contrast,1.1340184652363081
sfs_sc31_std,1.1243950617607796
lbpm_sc5_max,1.1087203892162139
lsr_sc51_line_contrast,1.1073384063202039
sfs_sc51_min_line_length,1.1035146589148597
gabor_sc3_filter_7,1.1005888172309333
hog_sc7_skew,1.0996776057634992
fourier_sc31_variance,1.0939919981536022
lbpm_sc3_mean,1.086505428991556
gabor_sc3_filter_9,1.0850309615260931
gabor_sc5_filter_4,1.0819315916910606
gabor_sc3_filter_11,1.0790932892015928
hog_sc7_kurtosis,1.0751437752780173
gabor_sc5_filter_13,1.0739499916437054
sfs_sc51_std,1.0557908853630356
hog_sc3_kurtosis,1.052992439350696
gabor_sc3_filter_8,1.0442317259647187
gabor_sc5_filter_2,1.0435010846964594
mean_sc5_variance,1.0388529826649597
gabor_sc7_filter_13,1.0343782093193077
sfs_sc51_max_ratio_of_orthogonal_angles,1.0338614148320422
gabor_sc5_filter_3,1.021584835588977
hog_sc3_variance,1.016552328741908
pantex_sc3_min,1.0108706519431518
gabor_sc5_filter_8,1.0083994192302848
hog_sc5_variance,1.005416045781803
lac_sc3_lac,0.999651170885403
gabor_sc3_filter_4,0.9939433398711621
mean_sc5_mean,0.9900517334319932
gabor_sc3_filter_3,0.9899646793267756
gabor_sc3_filter_1,0.9878668386025733
gabor_sc5_filter_6,0.9876667033490288
gabor_sc7_filter_6,0.9867531889610758
hog_sc5_skew,0.9861117147361211
gabor_sc5_filter_12,0.9668060299661939
gabor_sc3_filter_13,0.9660994115544771
orb_sc31_variance,0.958195165848056
gabor_sc5_variance,0.9569006227606248
hog_sc5_max,0.9529321105085586
sfs_sc71_max_ratio_of_orthogonal_angles,0.9509592240872441
hog_sc7_mean,0.9508227505893321
gabor_sc3_filter_6,0.9475441743465964
orb_sc31_kurtosis,0.9455040466930498
lbpm_sc3_kurtosis,0.9413143228139674
orb_sc31_mean,0.940941263174623
gabor_sc5_filter_10,0.940444658456023
hog_sc3_max,0.939569505946302
orb_sc31_skew,0.9352748503332126
lbpm_sc5_variance,0.929023836215291
orb_sc31_max,0.928202628112077
gabor_sc3_filter_5,0.9208862084241499
gabor_sc3_mean,0.9202734222449158
gabor_sc5_filter_1,0.917729797041441
lsr_sc31_line_length,0.9139665310593348
gabor_sc7_filter_12,0.9066246841363599
orb_sc51_variance,0.9048812685736084
gabor_sc7_filter_8,0.9039984028879082
mean_sc7_variance,0.9038212710291063
mean_sc3_mean,0.8999519616196626
mean_sc7_mean,0.8968622130526593
gabor_sc7_filter_4,0.8967158731540631
lsr_sc51_line_length,0.889495226868719
