Covariate_features,values
 ses_odef_2018,1050.6712791672173
 ses_impr_water_src_2016,484.1325424734675
 in_dist_rd_intersect_2016,244.74155683602405
 ses_w_anemia_2018,37.73891718760987
 fs_dist_school_2020,15.244517640632536
 ses_an_visits_2016,9.847592692863774
 ses_measles_2018,6.737049439623546
 ph_dist_art_surface_2015,6.464724201997155
 fs_dist_market_2020,6.276334912260903
 ph_dist_herb_2015,5.400897076230402
 ph_dist_cultivated_2015,5.013143025370467
 ses_pfpr_2017,4.539654179572926
 ph_dist_aq_veg_2015,3.193480000812301
 ph_max_tem_2019,3.120301019628407
 ses_unmet_need_2018,3.1028503228195112
 fs_dist_hf_2019,3.0904297122021664
 ph_ndvi_2019,3.0450029795142464
 ses_dpt3_2018,2.9283964817746067
 ph_pm25_2016,2.6572068406070932
 ph_land_c2_2020,2.438578839919012
 ph_climate_risk_2020,2.2789579055345293
 ses_child_stunted_2018,2.2455504746645434
 po_pop_fb_2018,2.057709808284096
 uu_bld_den_2020,1.9879916945845828
 uu_bld_count_2020,1.9825825422608745
 uu_impr_housing_2015,1.937248675357866
 sh_dist_conflict_2020,1.828499087078217
 in_dist_rd_2016,1.7617692348467335
 uu_urb_bldg_2018,1.593135449036631
 ph_slope_2000,1.5116162453324227
 ph_base_water_2010,1.3727660295246875
 ph_dist_riv_network_2007,1.2721630227384095
 fs_dist_school1_2018,1.2112171215149508
 ph_dist_woody_tree_2015,1.1740450622091398
 sh_pol_relev_ethnic_gr_2019,1.1374860860144786
 ses_w_lit_2018,1.1333540311210006
 ph_land_c1_2019,1.0984348141500455
 ph_bio_dvst_2015,1.0212713708686025
 fs_electric_dist_2020,1.0185895602444897
 ses_preg_2017,0.7588575331354354
 ph_grd_water_2000,0.6942282265245431
 ph_dist_inland_water_2018,0.6200439895576563
 in_dist_waterway_2016,0.5502974045440102
 ph_hzd_index_2011,0.48975190367545085
 po_pop_un_2020,0.48794739765635825
 sh_dist_mnr_pofw_2019,0.3990161659180942
 fs_dist_well_2018,0.3665567752757261
 ph_dist_shrub_2015,0.3661774759836331
 ph_dist_open_coast_2020,0.34197626231706346
 sh_ethno_den_2020,0.23508428376907023
 fs_dist_mosques_2017,0.21632163434406396
 ph_dist_bare_2015,0.18877760104637906
 ses_m_lit_2018,0.1771905653334277
 ses_hf_delivery_2018,0.15281022877092762
 ph_dist_sparse_veg_2015,0.051379769790566514
 in_night_light_2016,0.027694665193757954
 fs_dist_hf1_2020,0.020550486815722555
 fs_dist_fs_2020,0.014689622284518887
 ses_ITN_2016,0.007526510870399427
 sh_dist_pofw_2019,0.005701847564328995
