Contextual_features,feature_number,score,values
Band_43,42,-3.564055943594751,3.564055943594751
Band_44,43,3.405559849531511,3.405559849531511
Band_51,50,-3.1147083199140377,3.1147083199140377
Band_18,17,-3.1032489067520594,3.1032489067520594
Band_33,32,-2.829438455218499,2.829438455218499
Band_48,47,2.742544813204287,2.742544813204287
Band_40,39,-2.65942533971103,2.65942533971103
Band_34,33,-2.6391905530456703,2.6391905530456703
Band_17,16,-2.4773661438218486,2.4773661438218486
Band_42,41,-1.8792360549030254,1.8792360549030254
Band_13,12,1.721799710301181,1.721799710301181
Band_21,20,-1.593272200579349,1.593272200579349
Band_23,22,1.5099613413804907,1.5099613413804907
Band_12,11,1.4788329300601428,1.4788329300601428
Band_1,0,1.380777787940415,1.380777787940415
Band_50,49,1.3085692011939756,1.3085692011939756
Band_54,53,-1.2044954732005244,1.2044954732005244
Band_27,26,1.1486185967563387,1.1486185967563387
Band_39,38,-1.0116611130648068,1.0116611130648068
Band_10,9,-0.9853432704374696,0.9853432704374696
Band_11,10,-0.9393090489613523,0.9393090489613523
Band_56,55,0.9102960402936688,0.9102960402936688
Band_52,51,0.8856645660500273,0.8856645660500273
Band_41,40,0.8208070865664481,0.8208070865664481
Band_2,1,0.7438589618782384,0.7438589618782384
Band_31,30,-0.7155964648693027,0.7155964648693027
Band_4,3,0.6650889812914679,0.6650889812914679
Band_38,37,0.6260091750652743,0.6260091750652743
Band_47,46,-0.5702531489821863,0.5702531489821863
Band_9,8,-0.5454997955884286,0.5454997955884286
Band_3,2,0.5248674333814868,0.5248674333814868
Band_59,58,-0.49896954911592684,0.49896954911592684
Band_25,24,0.46146399534568255,0.46146399534568255
Band_32,31,0.4273548305696863,0.4273548305696863
Band_8,7,0.4136811445396498,0.4136811445396498
Band_53,52,-0.3796658262598215,0.3796658262598215
Band_6,5,-0.3718132456051555,0.3718132456051555
Band_7,6,0.34294413138462526,0.34294413138462526
Band_20,19,-0.3004539051267217,0.3004539051267217
Band_49,48,0.2686169032721286,0.2686169032721286
Band_24,23,0.25278154733204666,0.25278154733204666
Band_55,54,0.18943865463223145,0.18943865463223145
Band_30,29,-0.18725844527380456,0.18725844527380456
Band_57,56,-0.16967228809290177,0.16967228809290177
Band_58,57,-0.16043952902537525,0.16043952902537525
Band_14,13,-0.15182452696478932,0.15182452696478932
Band_37,36,-0.13521708038840072,0.13521708038840072
Band_16,15,0.13091827255874472,0.13091827255874472
Band_35,34,0.12592485294040157,0.12592485294040157
Band_15,14,-0.12234521137356334,0.12234521137356334
Band_46,45,0.07210811962131419,0.07210811962131419
Band_45,44,-0.07052694908659905,0.07052694908659905
Band_19,18,-0.05200449062084591,0.05200449062084591
Band_5,4,0.04873051084157258,0.04873051084157258
Band_36,35,0.04631536036994308,0.04631536036994308
Band_29,28,-0.037974043355888214,0.037974043355888214
Band_61,60,0.015346341990518401,0.015346341990518401
Band_60,59,-0.007228450623982107,0.007228450623982107
Band_28,27,0.0,0.0
Band_22,21,0.0,0.0
Band_26,25,0.0,0.0
