contextual_features,pca_relative_importance
gabor_sc3_filter_13,0.34466779239212314
sfs_sc71_max_line_length,0.21345245228593618
hog_sc7_variance,0.07660276341344835
orb_sc51_max,0.056863168686804154
lbpm_sc7_variance,0.04561143264930747
lsr_sc31_line_length,0.03788132492782047
sfs_sc71_min_line_length,0.03696461529366083
hog_sc7_kurtosis,0.03550831112238468
ndvi_sc3_variance,0.03447521825452797
sfs_sc31_w_mean,0.03205095896637906
orb_sc71_kurtosis,0.03026605633209305
hog_sc7_kurtosis,0.030197436571900334
orb_sc31_kurtosis,0.025458469103614323
