Features,Importance
sfs_sc51_std,0.05223057141983765
sfs_sc51_min_line_length,0.046678219612394274
sfs_sc71_w_mean,0.0436958382338231
sfs_sc51_mean,0.03707341617753097
sfs_sc31_mean,0.035600656253774364
orb_sc31_variance,0.03340761126011938
gabor_sc5_filter_2,0.02552406249393434
sfs_sc31_max_ratio_of_orthogonal_angles,0.025348474855755917
gabor_sc5_filter_11,0.023142960851818224
pantex_sc7_min,0.02294192159860122
gabor_sc5_filter_13,0.022542376075083533
gabor_sc5_filter_3,0.022363939597524495
gabor_sc7_filter_8,0.021521811195162673
sfs_sc31_max_line_length,0.0202671257455132
pantex_sc5_min,0.020128601299255606
gabor_sc5_filter_14,0.020081568468648843
orb_sc31_max,0.018832546488460673
orb_sc71_max,0.015844602315510294
sfs_sc71_std,0.015609134613104585
orb_sc71_variance,0.014617057179428383
lbpm_sc5_kurtosis,0.014609220242187625
ndvi_sc3_variance,0.014050938946357117
gabor_sc7_filter_6,0.012166234546473344
sfs_sc71_min_line_length,0.010537999094551382
lbpm_sc3_kurtosis,0.010473136260459497
lbpm_sc5_max,0.01039451773832263
gabor_sc7_filter_7,0.010053484887396373
sfs_sc51_w_mean,0.009993322770438767
sfs_sc71_max_line_length,0.009587525797826481
orb_sc71_mean,0.00879138630475758
hog_sc7_variance,0.008054745896803446
lac_sc7_lac,0.007375367463959109
pantex_sc3_min,0.007144664569063416
orb_sc31_mean,0.007068584239379426
orb_sc71_kurtosis,0.006890626038011737
lbpm_sc7_kurtosis,0.006765358037555464
lsr_sc31_line_mean,0.00666792492165902
gabor_sc5_filter_10,0.0064994448720719356
orb_sc71_skew,0.0064306522077993795
lsr_sc31_line_length,0.005983699740973597
lbpm_sc3_variance,0.0059489064462964454
hog_sc5_max,0.005905322481920924
hog_sc7_max,0.005835487105149584
sfs_sc51_max_line_length,0.005710314012741528
hog_sc5_skew,0.005551797202558016
gabor_sc7_filter_5,0.0054158563866112475
lbpm_sc7_variance,0.005396995267336928
orb_sc31_kurtosis,0.0053217902793972595
ndvi_sc3_mean,0.005209922434929033
gabor_sc7_filter_4,0.005185470838229928
hog_sc3_skew,0.00509132868136098
gabor_sc5_filter_12,0.00508916594865579
gabor_sc3_mean,0.005013530656064418
gabor_sc5_filter_1,0.004788927145687264
sfs_sc71_max_ratio_of_orthogonal_angles,0.0043414874830445165
sfs_sc71_mean,0.0042720273453624195
gabor_sc3_variance,0.004259144904017389
lsr_sc31_line_contrast,0.004052227914422789
sfs_sc31_min_line_length,0.0038699039414540437
lbpm_sc5_skew,0.0038315254478513087
gabor_sc7_filter_9,0.0037387492532599525
lac_sc5_lac,0.0037099538105370977
hog_sc3_kurtosis,0.0036908873659967137
gabor_sc3_filter_9,0.003642048487664648
hog_sc3_mean,0.0036242679326975893
gabor_sc7_filter_3,0.0036029601895352084
lsr_sc71_line_length,0.003599309742161926
lbpm_sc3_max,0.0034995344299351494
gabor_sc3_filter_8,0.003414823740101403
