Contextual_features,feature_number,score,values
ndvi_sc7_variance,29,-10.237441382936918,10.237441382936918
ndvi_sc5_variance,27,10.16711167637601,10.16711167637601
ndvi_sc7_mean,28,-9.430494299469961,9.430494299469961
ndvi_sc3_mean,24,7.181087725772568,7.181087725772568
mean_sc3_mean,93,6.1574834631268285,6.1574834631268285
gabor_sc5_filter_5,121,-4.061337679786299,4.061337679786299
gabor_sc7_filter_3,135,3.504544242253036,3.504544242253036
fourier_sc71_variance,50,3.4978457927776194,3.4978457927776194
gabor_sc5_filter_7,123,-3.3873560794187934,3.3873560794187934
gabor_sc7_filter_1,128,2.436083366028362,2.436083366028362
gabor_sc3_filter_5,105,-2.296857206392432,2.296857206392432
hog_sc3_max,52,-2.2717861146360283,2.2717861146360283
gabor_sc5_filter_3,119,-2.2520109571185603,2.2520109571185603
gabor_sc5_filter_2,118,-1.89779991892983,1.89779991892983
gabor_sc5_filter_6,122,-1.7220106585342927,1.7220106585342927
lsr_sc51_line_contrast,18,-1.7042288697260624,1.7042288697260624
gabor_sc7_mean,142,1.6716551231029955,1.6716551231029955
fourier_sc51_mean,47,-1.6353562128762653,1.6353562128762653
gabor_sc7_filter_4,136,1.615328943815942,1.615328943815942
lsr_sc51_line_length,19,1.6005967521427138,1.6005967521427138
hog_sc3_variance,55,1.5438783051584817,1.5438783051584817
sfs_sc51_max_ratio_of_orthogonal_angles,70,1.5162372802803112,1.5162372802803112
orb_sc71_mean,42,1.4876071697531694,1.4876071697531694
gabor_sc5_variance,127,-1.4810048265705793,1.4810048265705793
gabor_sc5_filter_4,120,-1.4080935322098997,1.4080935322098997
lbpm_sc5_mean,7,-1.278582449721337,1.278582449721337
lbpm_sc7_max,11,-1.2031013828899444,1.2031013828899444
orb_sc71_max,41,-1.0261611640515391,1.0261611640515391
gabor_sc5_filter_1,112,-0.9972184803052963,0.9972184803052963
gabor_sc7_filter_11,130,0.9550347056416535,0.9550347056416535
fourier_sc31_mean,45,-0.9362997382058119,0.9362997382058119
fourier_sc71_mean,49,0.9047914918363793,0.9047914918363793
