Contextual_features,feature_number,score,values
hog_sc7_variance,65,-1.1871123681076583,1.1871123681076583
orb_sc71_max,41,-1.180745925070935,1.180745925070935
fourier_sc31_mean,45,0.9693515408014332,0.9693515408014332
gabor_sc7_mean,142,-0.854679664278648,0.854679664278648
sfs_sc31_mean,80,-0.7426568809091331,0.7426568809091331
sfs_sc51_max_line_length,88,0.7284880496335973,0.7284880496335973
ndvi_sc3_mean,24,-0.6745260555760142,0.6745260555760142
lsr_sc71_line_mean,23,-0.6688600708268291,0.6688600708268291
sfs_sc51_mean,76,-0.6479996466370845,0.6479996466370845
lsr_sc71_line_length,22,-0.5768469380381404,0.5768469380381404
lbpm_sc3_skew,3,-0.5104795213578648,0.5104795213578648
sfs_sc31_w_mean,87,0.4920986741105649,0.4920986741105649
ndvi_sc3_variance,25,0.45181288392270774,0.45181288392270774
ndvi_sc7_variance,29,0.4395568291875913,0.4395568291875913
sfs_sc71_std,71,0.42838857074026787,0.42838857074026787
orb_sc71_skew,43,-0.4073463813561065,0.4073463813561065
lbpm_sc7_max,11,0.3874709227002893,0.3874709227002893
gabor_sc3_filter_14,101,-0.34876845807158574,0.34876845807158574
gabor_sc7_filter_7,139,0.33776873581896943,0.33776873581896943
sfs_sc71_w_mean,92,-0.3192590079570269,0.3192590079570269
gabor_sc7_variance,143,-0.3083004236263894,0.3083004236263894
orb_sc71_kurtosis,40,-0.29419977375421996,0.29419977375421996
sfs_sc31_max_line_length,90,0.2905552550548209,0.2905552550548209
hog_sc3_mean,53,-0.24819784336794487,0.24819784336794487
hog_sc3_skew,54,0.2447588103925504,0.2447588103925504
lac_sc5_lac,91,-0.24204495908596266,0.24204495908596266
lsr_sc31_line_mean,17,-0.23163325129694298,0.23163325129694298
lbpm_sc7_mean,12,0.22866607438734476,0.22866607438734476
hog_sc5_kurtosis,56,-0.22344212361065854,0.22344212361065854
sfs_sc31_max_ratio_of_orthogonal_angles,73,0.2187733714406903,0.2187733714406903
lsr_sc51_line_mean,20,0.2140979164658472,0.2140979164658472
hog_sc5_mean,58,0.20051374312145598,0.20051374312145598
lsr_sc71_line_contrast,21,0.1963112802763212,0.1963112802763212
hog_sc7_max,62,-0.1925551639549159,0.1925551639549159
sfs_sc71_max_line_length,89,-0.19226355667742082,0.19226355667742082
lbpm_sc3_max,1,-0.18361003764920952,0.18361003764920952
mean_sc3_variance,67,0.1823739473638681,0.1823739473638681
lac_sc7_lac,95,0.12801895933021468,0.12801895933021468
lbpm_sc5_kurtosis,5,0.12548056219305628,0.12548056219305628
fourier_sc51_variance,48,-0.11504231968739691,0.11504231968739691
pantex_sc5_min,74,0.11335153646418936,0.11335153646418936
sfs_sc31_min_line_length,84,-0.10447453965411879,0.10447453965411879
sfs_sc31_std,94,0.10441933111058488,0.10441933111058488
hog_sc3_variance,55,-0.09500116181146485,0.09500116181146485
sfs_sc51_min_line_length,75,0.08659178221602137,0.08659178221602137
hog_sc7_skew,64,0.07810786579344563,0.07810786579344563
sfs_sc51_w_mean,79,0.07401790774513647,0.07401790774513647
hog_sc7_kurtosis,61,0.07133580660682935,0.07133580660682935
lbpm_sc5_mean,7,-0.06883301399797162,0.06883301399797162
sfs_sc71_min_line_length,83,-0.045108950220308114,0.045108950220308114
sfs_sc71_max_ratio_of_orthogonal_angles,66,-0.044968035322304915,0.044968035322304915
pantex_sc3_min,69,0.03622478249434666,0.03622478249434666
lbpm_sc7_kurtosis,10,0.023238592666557544,0.023238592666557544
sfs_sc51_max_ratio_of_orthogonal_angles,70,0.01661095193434419,0.01661095193434419
lbpm_sc3_mean,2,0.012626159498281168,0.012626159498281168
lsr_sc31_line_contrast,15,0.00717309684243066,0.00717309684243066
hog_sc3_kurtosis,51,0.0036598078555214043,0.0036598078555214043
gabor_sc3_filter_2,102,0.0,0.0
gabor_sc3_filter_7,107,0.0,0.0
gabor_sc3_filter_9,109,0.0,0.0
gabor_sc3_filter_3,103,0.0,0.0
gabor_sc3_filter_4,104,0.0,0.0
gabor_sc3_filter_5,105,0.0,0.0
gabor_sc3_filter_6,106,0.0,0.0
gabor_sc3_filter_8,108,0.0,0.0
gabor_sc5_filter_13,116,0.0,0.0
gabor_sc3_mean,110,0.0,0.0
gabor_sc3_variance,111,0.0,0.0
gabor_sc7_filter_9,141,0.0,0.0
gabor_sc7_filter_8,140,0.0,0.0
gabor_sc7_filter_6,138,0.0,0.0
gabor_sc7_filter_5,137,0.0,0.0
gabor_sc7_filter_4,136,0.0,0.0
gabor_sc7_filter_3,135,0.0,0.0
gabor_sc7_filter_2,134,0.0,0.0
gabor_sc7_filter_14,133,0.0,0.0
gabor_sc7_filter_13,132,0.0,0.0
gabor_sc7_filter_12,131,0.0,0.0
gabor_sc7_filter_11,130,0.0,0.0
gabor_sc7_filter_10,129,0.0,0.0
gabor_sc7_filter_1,128,0.0,0.0
gabor_sc5_variance,127,0.0,0.0
gabor_sc5_mean,126,0.0,0.0
gabor_sc5_filter_9,125,0.0,0.0
gabor_sc5_filter_8,124,0.0,0.0
gabor_sc5_filter_7,123,0.0,0.0
gabor_sc5_filter_6,122,0.0,0.0
gabor_sc5_filter_5,121,0.0,0.0
gabor_sc5_filter_4,120,0.0,0.0
gabor_sc5_filter_3,119,0.0,0.0
gabor_sc5_filter_2,118,0.0,0.0
gabor_sc5_filter_14,117,0.0,0.0
gabor_sc3_filter_12,99,0.0,0.0
gabor_sc5_filter_12,115,0.0,0.0
gabor_sc5_filter_11,114,0.0,0.0
gabor_sc5_filter_10,113,0.0,0.0
gabor_sc5_filter_1,112,0.0,0.0
gabor_sc3_filter_13,100,0.0,0.0
lbpm_sc3_kurtosis,0,0.0,0.0
gabor_sc3_filter_11,98,0.0,0.0
orb_sc51_skew,38,0.0,0.0
orb_sc51_max,36,0.0,0.0
orb_sc51_kurtosis,35,0.0,0.0
orb_sc31_variance,34,0.0,0.0
orb_sc31_skew,33,0.0,0.0
orb_sc31_mean,32,0.0,0.0
orb_sc31_max,31,0.0,0.0
orb_sc31_kurtosis,30,0.0,0.0
ndvi_sc7_mean,28,0.0,0.0
ndvi_sc5_variance,27,0.0,0.0
ndvi_sc5_mean,26,0.0,0.0
lsr_sc51_line_length,19,0.0,0.0
lsr_sc51_line_contrast,18,0.0,0.0
lsr_sc31_line_length,16,0.0,0.0
lbpm_sc7_variance,14,0.0,0.0
lbpm_sc7_skew,13,0.0,0.0
lbpm_sc5_variance,9,0.0,0.0
lbpm_sc5_skew,8,0.0,0.0
lbpm_sc5_max,6,0.0,0.0
lbpm_sc3_variance,4,0.0,0.0
orb_sc51_mean,37,0.0,0.0
orb_sc51_variance,39,0.0,0.0
gabor_sc3_filter_10,97,0.0,0.0
orb_sc71_mean,42,0.0,0.0
gabor_sc3_filter_1,96,0.0,0.0
mean_sc3_mean,93,0.0,0.0
sfs_sc51_std,86,0.0,0.0
mean_sc5_variance,85,0.0,0.0
sfs_sc71_mean,82,0.0,0.0
pantex_sc7_min,81,0.0,0.0
mean_sc5_mean,78,0.0,0.0
lac_sc3_lac,77,0.0,0.0
mean_sc7_variance,68,0.0,0.0
hog_sc7_mean,63,0.0,0.0
hog_sc5_variance,60,0.0,0.0
hog_sc5_skew,59,0.0,0.0
hog_sc5_max,57,0.0,0.0
hog_sc3_max,52,0.0,0.0
fourier_sc71_variance,50,0.0,0.0
fourier_sc71_mean,49,0.0,0.0
fourier_sc51_mean,47,0.0,0.0
fourier_sc31_variance,46,0.0,0.0
orb_sc71_variance,44,0.0,0.0
mean_sc7_mean,72,0.0,0.0
