Features,Importance
Band_4,0.16746270875433736
Band_38,0.11037412565941578
Band_25,0.08971529831023238
Band_37,0.08681030766706149
Band_20,0.05391386521995418
Band_27,0.038645261709064106
Band_56,0.027067569988860927
Band_50,0.024639919221166186
Band_34,0.024548892854844004
Band_46,0.021638928634938617
Band_9,0.021481571268485544
Band_6,0.01935898518168916
Band_53,0.01700701530927772
Band_59,0.01648266363826343
Band_30,0.01484054531995225
Band_7,0.014479707486739716
Band_43,0.014116750838940387
Band_47,0.01284016618746143
Band_42,0.012663760959809072
Band_19,0.011437219250119566
Band_58,0.011015047596171845
Band_1,0.010180773072504645
Band_48,0.009209292767101139
Band_44,0.0080118418408596
Band_39,0.007980571928155164
Band_52,0.007804622349090217
Band_23,0.007484545714563518
Band_5,0.0071598761268992775
Band_33,0.007093868226465495
Band_14,0.007004543785487021
Band_29,0.007003936298236707
Band_26,0.006883322472051806
Band_61,0.006464923137061142
Band_31,0.00641145238586223
Band_32,0.006372515835798581
Band_51,0.006055741462283477
Band_12,0.005944615255059736
Band_40,0.0057617563224695864
Band_49,0.004934951650804816
Band_8,0.0049202250349054165
Band_22,0.0047973235387190425
Band_18,0.004681377827126958
Band_2,0.0044857538692628825
Band_57,0.0043295788801466575
Band_3,0.004099084850107995
Band_55,0.003931274351347061
Band_45,0.003877579427475152
Band_54,0.0038225097522483747
Band_24,0.0038172562617098164
Band_11,0.002936773059112749
Band_21,0.0026635981384540153
Band_13,0.002572705637664089
Band_10,0.0024440234486865805
Band_15,0.002227585251526336
Band_36,0.002224282076396249
Band_16,0.0022199143298664934
Band_60,0.0007170654536727834
Band_41,0.00040896854523197286
Band_35,0.0003232113731576498
Band_17,0.00019644720564254464
