Features,Importance
Band_7,0.11909467267407842
Band_61,0.07643726503004249
Band_27,0.046593494688277906
Band_2,0.03978544637878975
Band_24,0.03485718434917048
Band_33,0.03146937261922618
Band_26,0.02914327856136073
Band_34,0.02851681654714025
Band_49,0.028281441394899312
Band_32,0.026164462586771842
Band_5,0.02352179813627589
Band_58,0.022137543893936414
Band_51,0.020370984827552632
Band_39,0.020273598183506394
Band_56,0.019973033645582602
Band_48,0.019822948317599873
Band_47,0.01846590773551313
Band_3,0.01767168412286723
Band_23,0.017035435439677813
Band_57,0.01680406272367273
Band_16,0.01678794394900312
Band_30,0.01603890629076495
Band_50,0.015895073222420064
Band_46,0.01578454126158873
Band_45,0.015233098709070959
Band_29,0.014922422558281018
Band_8,0.0149005607873306
Band_20,0.014741197869214734
Band_55,0.013951896586634985
Band_13,0.012723019614800565
Band_54,0.012392461137505629
Band_14,0.011259418041832716
Band_59,0.011071013080467438
Band_18,0.010364787669244027
Band_15,0.009531601033328136
Band_1,0.00906289414955535
Band_19,0.008907348557988233
Band_25,0.00875753730081307
Band_11,0.008724498411013953
Band_44,0.008718923606467997
Band_10,0.008196844851428985
Band_52,0.007370045932717769
Band_43,0.0073646458053977445
Band_42,0.007316520956810201
Band_40,0.00701917438421381
Band_12,0.006598365723711684
Band_53,0.006582238169857917
Band_31,0.006576470528669856
Band_35,0.006100236205624842
Band_6,0.0054509211493611485
Band_60,0.0050622599708343395
Band_4,0.0048531975556898406
Band_22,0.0035239243871338873
Band_17,0.003307020839991252
Band_36,0.002601689827969229
Band_41,0.0022421882308024605
Band_9,0.0013074412985267818
Band_21,0.001135547390759884
Band_38,0.0008745889115955758
Band_37,0.0003271021856342465
