names,feature_number,score,abs_score
gabor_sc7_filter_13,87,6.946299567424791,6.946299567424791
gabor_sc7_filter_14,88,6.533082933288417,6.533082933288417
lbpm_sc7_max,36,-6.187137806141137,6.187137806141137
gabor_sc5_filter_8,79,-5.575222299298303,5.575222299298303
fourier_sc71_mean,49,-5.338903811273559,5.338903811273559
fourier_sc71_variance,50,5.156217826075917,5.156217826075917
sfs_sc51_max_ratio_of_orthogonal_angles,122,4.682789508035343,4.682789508035343
lbpm_sc3_skew,26,4.589332701622162,4.589332701622162
gabor_sc5_filter_10,68,-4.562785147112084,4.562785147112084
sfs_sc71_mean,136,-3.9968326872251416,3.9968326872251416
hog_sc7_max,110,3.903616259013027,3.903616259013027
sfs_sc71_std,123,3.823868758350654,3.823868758350654
lbpm_sc3_kurtosis,21,-3.809730822912023,3.809730822912023
fourier_sc51_variance,48,-3.6986813413996726,3.6986813413996726
lsr_sc71_line_length,39,3.54303344166855,3.54303344166855
hog_sc7_mean,111,-3.5042296972889306,3.5042296972889306
lbpm_sc5_mean,40,3.324565576856332,3.324565576856332
mean_sc5_variance,140,-2.8710436863394877,2.8710436863394877
lbpm_sc7_variance,33,2.8696562730180046,2.8696562730180046
sfs_sc31_min_line_length,139,-2.585133549137605,2.585133549137605
sfs_sc71_max_ratio_of_orthogonal_angles,118,2.446630282441952,2.446630282441952
lsr_sc31_line_contrast,35,-2.3586916966665314,2.3586916966665314
gabor_sc3_filter_1,51,2.3248022305928338,2.3248022305928338
lbpm_sc3_max,3,2.3052907906158797,2.3052907906158797
hog_sc5_mean,106,2.2778512846662453,2.2778512846662453
pantex_sc7_min,135,2.183236986528041,2.183236986528041
gabor_sc5_filter_6,77,-2.063174196385901,2.063174196385901
hog_sc3_kurtosis,99,-2.062625593359331,2.062625593359331
mean_sc3_mean,137,2.0539210432978146,2.0539210432978146
hog_sc3_skew,102,2.0461181204603682,2.0461181204603682
lsr_sc31_line_length,31,1.9898424947045479,1.9898424947045479
fourier_sc31_variance,46,1.966439623366906,1.966439623366906
hog_sc7_variance,113,-1.904219423600726,1.904219423600726
sfs_sc31_max_ratio_of_orthogonal_angles,127,-1.7938210832355892,1.7938210832355892
lbpm_sc3_variance,5,-1.7574029945875718,1.7574029945875718
pantex_sc5_min,128,-1.721839976864472,1.721839976864472
lbpm_sc5_max,2,1.7078991828893137,1.7078991828893137
orb_sc71_mean,38,1.6623250163287875,1.6623250163287875
gabor_sc7_filter_6,93,-1.5614853671006093,1.5614853671006093
lbpm_sc7_kurtosis,34,-1.553022856502973,1.553022856502973
lsr_sc51_line_contrast,22,-1.4656989080620115,1.4656989080620115
orb_sc31_max,28,-1.4540354956945567,1.4540354956945567
gabor_sc7_filter_11,85,1.3585720801983414,1.3585720801983414
sfs_sc51_std,141,-1.2527537306966439,1.2527537306966439
ndvi_sc5_mean,24,-1.2435089495618883,1.2435089495618883
hog_sc3_mean,101,1.2370505370258462,1.2370505370258462
sfs_sc71_w_mean,125,-1.2070371089036178,1.2070371089036178
sfs_sc51_mean,130,1.0604587599360236,1.0604587599360236
orb_sc71_variance,8,-0.9818291910490995,0.9818291910490995
sfs_sc31_max_line_length,124,0.9676847552772646,0.9676847552772646
lbpm_sc5_kurtosis,23,-0.9418627316985275,0.9418627316985275
gabor_sc3_filter_2,57,0.9282754055246888,0.9282754055246888
orb_sc51_variance,13,0.9216052293673755,0.9216052293673755
lac_sc7_lac,115,-0.8007261526670322,0.8007261526670322
