Covariate_features,values
 ses_odef_2018,1050.6712802275863
 ses_impr_water_src_2016,484.1325429546236
 in_dist_rd_intersect_2016,244.74155678994876
 ses_w_anemia_2018,37.738917161501924
 fs_dist_school_2020,15.24451761015506
 ses_an_visits_2016,9.847592683838764
 ses_measles_2018,6.737049424086881
 ph_dist_art_surface_2015,6.464724207866306
 fs_dist_market_2020,6.276334928332496
 ph_dist_herb_2015,5.400897083490994
 ph_dist_cultivated_2015,5.013143036612266
 ses_pfpr_2017,4.539654155033157
 ph_dist_aq_veg_2015,3.1934800014789078
 ph_max_tem_2019,3.1203010196340437
 ses_unmet_need_2018,3.1028503254953974
 fs_dist_hf_2019,3.090429715820558
 ph_ndvi_2019,3.0450029819160918
 ses_dpt3_2018,2.9283964861114895
 ph_pm25_2016,2.6572068327563483
 ph_land_c2_2020,2.4385788398894306
 ph_climate_risk_2020,2.278957898367394
 ses_child_stunted_2018,2.2455504835970928
 po_pop_fb_2018,2.0577098078030645
 uu_bld_den_2020,1.9879916930960368
 uu_bld_count_2020,1.9825825407759603
 uu_impr_housing_2015,1.9372486807914915
 sh_dist_conflict_2020,1.8284990921415734
 in_dist_rd_2016,1.7617692359969357
 uu_urb_bldg_2018,1.5931354484046678
 ph_slope_2000,1.511616243916429
 ph_base_water_2010,1.3727660274509315
 ph_dist_riv_network_2007,1.2721630240590058
 fs_dist_school1_2018,1.2112171166704628
 ph_dist_woody_tree_2015,1.1740450554704074
 sh_pol_relev_ethnic_gr_2019,1.1374860844829173
 ses_w_lit_2018,1.1333540348664828
 ph_land_c1_2019,1.0984348135783273
 ph_bio_dvst_2015,1.0212713706510983
 fs_electric_dist_2020,1.0185895593505099
 ph_gdmhz_2005,1.0
 ses_preg_2017,0.7588575342294112
 ph_grd_water_2000,0.6942282258226604
 ph_dist_inland_water_2018,0.6200439895986056
 in_dist_waterway_2016,0.5502974058055625
 ph_hzd_index_2011,0.48975190455742185
 po_pop_un_2020,0.4879473989173812
 sh_dist_mnr_pofw_2019,0.399016167117138
 fs_dist_well_2018,0.3665567754094451
 ph_dist_shrub_2015,0.3661774748806462
 ph_dist_open_coast_2020,0.34197626141720916
 sh_ethno_den_2020,0.23508428393423997
 fs_dist_mosques_2017,0.2163216336432964
 ph_dist_bare_2015,0.188777600612096
 ses_m_lit_2018,0.17719056479018344
 ses_hf_delivery_2018,0.15281022862831076
 ph_dist_sparse_veg_2015,0.05137976960546605
 in_night_light_2016,0.027694665230969057
 fs_dist_hf1_2020,0.020550486870307968
 fs_dist_fs_2020,0.014689622263018738
 ses_ITN_2016,0.007526510847455767
 sh_dist_pofw_2019,0.0057018475592626305
