Features,Importance
 po_pop_fb_2018,0.13814854078604838
 ph_ndvi_2019,0.11891920045885457
 ph_pm25_2016,0.08819718109377916
 ph_dist_herb_2015,0.06017387176914837
 ph_climate_risk_2020,0.053566790753142336
 ph_dist_open_coast_2020,0.03959804627600127
 ses_preg_2017,0.03746722726418721
 ph_land_c1_2019,0.02590908747213704
 uu_bld_count_2020,0.024992777448080525
 ph_base_water_2010,0.024148065411330702
 sh_pol_relev_ethnic_gr_2019,0.024047739250581165
 sh_dist_pofw_2019,0.021169617428028822
 ses_an_visits_2016,0.02081524977172382
 uu_urb_bldg_2018,0.018572492340445623
index,0.01748224332778485
 ses_impr_water_src_2016,0.01616558276224418
 ses_m_lit_2018,0.01584800997367066
 ph_dist_sparse_veg_2015,0.015399878713424027
 ses_child_stunted_2018,0.0139815136678852
 fs_dist_hf_2019,0.012756858014484678
 uu_bld_den_2020,0.011521022842165343
 ph_dist_woody_tree_2015,0.010270991049249443
 ses_w_lit_2018,0.010250300079729394
 fs_electric_dist_2020,0.009681059785914221
 ph_slope_2000,0.008093392854777937
 in_night_light_2016,0.007670508490582746
 fs_dist_fs_2020,0.007312170130353381
 fs_dist_hf1_2020,0.007076362151554923
 ph_bio_dvst_2015,0.006905338329225175
 ph_hzd_index_2011,0.006432034446407953
 ses_dpt3_2018,0.006405122209415176
long,0.006383913762917277
 ph_dist_riv_network_2007,0.006198173394182104
 ph_dist_bare_2015,0.006022240232161682
 ses_w_anemia_2018,0.0059578032302352105
 ph_dist_inland_water_2018,0.005684566884561931
 ses_unmet_need_2018,0.00547382270167374
 ph_dist_art_surface_2015,0.005367265215797148
 fs_dist_market_2020,0.005329469574906315
 ses_measles_2018,0.005315228148074054
 fs_dist_school1_2018,0.0052963956802594934
 po_pop_un_2020,0.005063230180917359
 ses_odef_2018,0.0048206684830169565
 ph_dist_cultivated_2015,0.0047289274433239365
 ses_pfpr_2017,0.004569054895240306
lat,0.00455449224005932
 ph_grd_water_2000,0.004330115555487957
 sh_ethno_den_2020,0.004209792914562309
 ph_dist_shrub_2015,0.003873437851920712
 sh_dist_mnr_pofw_2019,0.003821551223867352
 ses_hf_delivery_2018,0.00375575499245443
 sh_dist_conflict_2020,0.0034927581361773254
 fs_dist_well_2018,0.002793541560736581
 fs_dist_school_2020,0.0027846735071778996
 ph_dist_aq_veg_2015,0.0026242380567309065
 fs_dist_mosques_2017,0.002354138053339566
 in_dist_rd_intersect_2016,0.0019261097179106715
 in_dist_rd_2016,0.0014715134229949544
 ph_max_tem_2019,0.0013030336576251428
 uu_impr_housing_2015,0.0004923815628336935
 ph_land_c2_2020,0.0003873344984071629
 ses_ITN_2016,0.0003637434656229876
 in_dist_waterway_2016,0.00027235340246516273
