Features,Importance
 uu_urb_bldg_2018,0.10529365317907434
index,0.09649370514996208
 ph_bio_dvst_2015,0.041257716857773845
 ph_dist_cultivated_2015,0.040073011145601425
 ph_hzd_index_2011,0.03665605007983977
 fs_dist_hf1_2020,0.03480078278109565
 ses_odef_2018,0.0282381812584333
 ph_dist_inland_water_2018,0.02691904904088
 ph_dist_open_coast_2020,0.026050857408267417
 sh_pol_relev_ethnic_gr_2019,0.023431543478232477
 ph_dist_bare_2015,0.0211237538486795
 ph_grd_water_2000,0.020537111076426386
 ses_m_lit_2018,0.01879028310061987
lat,0.01850889418718
 fs_dist_fs_2020,0.0176636043429862
 ph_land_c1_2019,0.017380133963170955
 in_dist_rd_intersect_2016,0.017223954266335228
 ph_dist_sparse_veg_2015,0.016539016404333896
 fs_dist_hf_2019,0.016333293624827258
 ses_w_anemia_2018,0.01571740441897346
 sh_ethno_den_2020,0.015354296488006349
 ph_dist_riv_network_2007,0.015289977022593793
 uu_bld_count_2020,0.015140277840035011
 ph_dist_shrub_2015,0.015100248596108949
 fs_dist_well_2018,0.015096069724314347
 ph_climate_risk_2020,0.014155500243275882
 sh_dist_pofw_2019,0.013942573759040679
 ses_measles_2018,0.013875825864586643
 ses_preg_2017,0.013679249660197736
 sh_dist_mnr_pofw_2019,0.013185879911336273
 ses_unmet_need_2018,0.012575304960552836
 ses_hf_delivery_2018,0.01247763804218918
 po_pop_un_2020,0.011939533356771599
 ph_slope_2000,0.01177870445105358
 fs_dist_market_2020,0.010785654526078978
 in_night_light_2016,0.010706339556200466
 ses_dpt3_2018,0.009683651303021464
 ph_base_water_2010,0.009681331965294342
 ph_dist_woody_tree_2015,0.008472380779044752
 fs_electric_dist_2020,0.00844301539383968
 ses_impr_water_src_2016,0.008094061102585166
 ses_an_visits_2016,0.007484193782004961
 uu_impr_housing_2015,0.007313565622232592
 ses_pfpr_2017,0.007225933293000894
 ph_dist_herb_2015,0.007098323362090796
 fs_dist_school_2020,0.006935916091896331
 ph_land_c2_2020,0.006648356289037127
 sh_dist_conflict_2020,0.006493067003057033
 ph_dist_art_surface_2015,0.005917812227333293
 ses_w_lit_2018,0.00546607213917684
 fs_dist_mosques_2017,0.005224809371168889
 uu_bld_den_2020,0.005157735235628992
 ses_child_stunted_2018,0.004879215467289448
 in_dist_rd_2016,0.004696254279240652
 po_pop_fb_2018,0.004617046572131077
 fs_dist_school1_2018,0.004423804765367819
 ph_max_tem_2019,0.0026319096070667085
 ses_ITN_2016,0.002537574439162987
 in_dist_waterway_2016,0.0017171542203671813
long,0.0015754658740135302
 ph_dist_aq_veg_2015,0.001556240897157391
 ph_pm25_2016,0.0011619909957865117
 ph_ndvi_2019,0.0007480443069681732
