Contextual_features,feature_number,score,values
Band_43,41,7.023409301486537,7.023409301486537
Band_47,45,5.973128666807967,5.973128666807967
Band_44,42,-3.354949117140084,3.354949117140084
Band_13,12,-3.0310590270190882,3.0310590270190882
Band_11,10,2.8846838660540195,2.8846838660540195
Band_3,2,-2.8599210996230564,2.8599210996230564
Band_55,53,-1.3545924336669537,1.3545924336669537
Band_45,43,-1.2809024133664069,1.2809024133664069
Band_6,5,1.2039217200754033,1.2039217200754033
Band_56,54,-1.1888461852792578,1.1888461852792578
Band_35,33,0.9405439549329839,0.9405439549329839
Band_1,0,-0.9142809896244228,0.9142809896244228
Band_17,16,0.8723209373649167,0.8723209373649167
Band_34,32,0.749763934686305,0.749763934686305
Band_59,57,0.6743858205775578,0.6743858205775578
Band_5,4,-0.6657992192028797,0.6657992192028797
Band_26,25,-0.6579775720999858,0.6579775720999858
Band_32,30,0.5863120802640781,0.5863120802640781
Band_50,48,0.5730143734030877,0.5730143734030877
Band_38,36,-0.5345247873812574,0.5345247873812574
Band_58,56,0.5251259267002506,0.5251259267002506
Band_53,51,0.4617629044904228,0.4617629044904228
Band_40,38,0.43476985201508084,0.43476985201508084
Band_18,17,0.4170519255136384,0.4170519255136384
Band_14,13,0.3983921283697684,0.3983921283697684
Band_10,9,0.3721175395882389,0.3721175395882389
Band_16,15,0.3707508926609912,0.3707508926609912
Band_20,19,0.34336640320906103,0.34336640320906103
Band_2,1,0.32662376924347086,0.32662376924347086
Band_29,27,-0.3146930647917566,0.3146930647917566
Band_61,59,0.30697814856770783,0.30697814856770783
Band_37,35,0.29247084025343645,0.29247084025343645
Band_36,34,0.2801079857865666,0.2801079857865666
Band_39,37,0.2684805949958136,0.2684805949958136
Band_8,7,-0.2559667546407481,0.2559667546407481
Band_23,22,-0.16494990190376696,0.16494990190376696
Band_49,47,-0.15209838478767687,0.15209838478767687
Band_4,3,0.10618748922588686,0.10618748922588686
Band_24,23,0.10546759013130719,0.10546759013130719
Band_9,8,0.09348024247818586,0.09348024247818586
Band_21,20,0.06723832768633678,0.06723832768633678
Band_30,28,-0.05600972748204267,0.05600972748204267
Band_57,55,0.0358956649622823,0.0358956649622823
Band_60,58,0.006951989675175014,0.006951989675175014
Band_15,14,-0.003960131136488485,0.003960131136488485
Band_54,52,0.0,0.0
Band_52,50,0.0,0.0
Band_51,49,0.0,0.0
Band_7,6,0.0,0.0
Band_19,18,0.0,0.0
Band_48,46,0.0,0.0
Band_46,44,0.0,0.0
Band_12,11,0.0,0.0
Band_42,40,0.0,0.0
Band_33,31,0.0,0.0
Band_31,29,0.0,0.0
Band_27,26,0.0,0.0
Band_25,24,0.0,0.0
Band_22,21,0.0,0.0
Band_41,39,0.0,0.0
